epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.624,2.08091,3.43777,1.22621,0.01538,0.45784,0.04473,0.0178,2.32108,4.23381,1.51503,0.000327778,0.000327778,0.000327778
2,1203.56,2.02001,2.2634,1.16414,0.45809,0.24295,0.21686,0.09803,2.13087,3.26617,1.62225,0.000639294,0.000639294,0.000639294
3,1700.53,2.00808,2.05161,1.14775,0.22112,0.36394,0.19275,0.08082,2.25157,4.07358,1.81244,0.000928811,0.000928811,0.000928811
4,2189.23,1.93144,1.86558,1.13366,0.30232,0.31103,0.24556,0.10136,2.1555,2.90347,1.62914,0.000901,0.000901,0.000901
5,2676.48,1.91661,1.77721,1.12319,0.34282,0.35977,0.25711,0.10481,2.20568,2.8399,1.54138,0.000868,0.000868,0.000868
6,3204.02,1.88929,1.74568,1.12134,0.41459,0.37878,0.31187,0.13753,2.05307,2.69609,1.47163,0.000835,0.000835,0.000835
7,3754.64,1.89408,1.73828,1.1186,0.39446,0.37158,0.30668,0.14381,2.03184,2.5144,1.48244,0.000802,0.000802,0.000802
8,4296.67,1.85488,1.64712,1.10562,0.43169,0.37263,0.35326,0.1633,1.95385,2.28227,1.47128,0.000769,0.000769,0.000769
9,4829.87,1.7809,1.60291,1.10161,0.40131,0.41467,0.33003,0.15279,2.01003,2.25614,1.47412,0.000736,0.000736,0.000736
10,5309.11,1.80061,1.57696,1.08767,0.43893,0.39238,0.372,0.17599,1.96935,2.2322,1.43388,0.000703,0.000703,0.000703
11,5913.03,1.78202,1.52538,1.08068,0.47985,0.42917,0.36967,0.16966,1.95338,2.22394,1.40924,0.00067,0.00067,0.00067
12,6473.79,1.79375,1.48854,1.07311,0.38472,0.44523,0.3817,0.19043,1.8507,2.06323,1.38903,0.000637,0.000637,0.000637
13,7170,1.73583,1.47185,1.07415,0.42734,0.411,0.3641,0.17232,1.91626,2.14228,1.3933,0.000604,0.000604,0.000604
14,7661.06,1.73194,1.43787,1.05465,0.53291,0.38024,0.40034,0.20388,1.88836,2.03494,1.35613,0.000571,0.000571,0.000571
15,8153.67,1.73163,1.43152,1.06689,0.50755,0.40951,0.41327,0.19664,1.94715,2.28914,1.42589,0.000538,0.000538,0.000538
16,8650.92,1.71465,1.39285,1.05309,0.5305,0.43841,0.44591,0.22592,1.82001,1.84007,1.34438,0.000505,0.000505,0.000505
17,9152.09,1.69047,1.36503,1.05108,0.58779,0.44586,0.48049,0.23906,1.82326,1.82057,1.34472,0.000472,0.000472,0.000472
18,9682.48,1.69354,1.32527,1.03439,0.59772,0.51575,0.51717,0.2664,1.81369,1.73969,1.31833,0.000439,0.000439,0.000439
19,10208.1,1.67657,1.34171,1.03114,0.56008,0.49541,0.50994,0.26375,1.78554,1.74969,1.30843,0.000406,0.000406,0.000406
20,10736.6,1.67419,1.29822,1.02954,0.59561,0.51489,0.52767,0.28037,1.76012,1.73194,1.30066,0.000373,0.000373,0.000373
21,11257,1.60847,1.32716,1.04582,0.5213,0.5195,0.50178,0.25975,1.77876,1.74199,1.31801,0.00034,0.00034,0.00034
22,11777.1,1.63955,1.26074,1.03917,0.57809,0.50404,0.50514,0.26478,1.77755,1.77737,1.32153,0.000307,0.000307,0.000307
23,12293.5,1.60295,1.22722,1.02971,0.59215,0.53326,0.54946,0.30267,1.72608,1.70521,1.28488,0.000274,0.000274,0.000274
24,12803.1,1.56843,1.19518,1.02672,0.67602,0.5279,0.56267,0.3041,1.75007,1.63677,1.29935,0.000241,0.000241,0.000241
25,13303.1,1.55739,1.16725,1.02189,0.6362,0.52275,0.55819,0.29393,1.7657,1.61673,1.29325,0.000208,0.000208,0.000208
26,13798.8,1.54909,1.15003,1.01289,0.65121,0.55178,0.58299,0.31881,1.72723,1.57923,1.25762,0.000175,0.000175,0.000175
27,14302,1.53683,1.1424,1.01279,0.71578,0.55902,0.61074,0.33378,1.71622,1.51193,1.27045,0.000142,0.000142,0.000142
28,14800.2,1.52081,1.12634,0.99915,0.66347,0.57449,0.60737,0.33859,1.69327,1.53659,1.25078,0.000109,0.000109,0.000109
29,15296.9,1.51348,1.08891,0.99638,0.68062,0.6038,0.62449,0.34894,1.67978,1.49573,1.24427,7.6e-05,7.6e-05,7.6e-05
30,15793.9,1.4921,1.0879,0.99402,0.70448,0.59519,0.62764,0.35116,1.66354,1.49024,1.24007,4.3e-05,4.3e-05,4.3e-05
